* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A) NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which  Infineon disclaims to the maximum extent permitted by applicable law; and
* (B) NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* (C) LIMITATION OF LIABILITY: IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR ANY OTHER LEGAL THEORY, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.
* © 2020 Infineon Technologies AG. All rights reserved.

* Note:
* The CMOS transistor models used, were freely available models downloaded from: http://ptm.asu.edu.
* The bipolar transistor models are from: The Development of Bipolar Log-Domain Filters in a Standard CMOS Process, G. D. Duerden, G. W. Roberts, M. J. Deen, 2001

* Release:
* 	version 2.0

Tag,Net1,Net2,path,device,terminalA,terminalB
TAG	,	Net1	,	Net2	,	Path	,	Device	,	TerminalA	,	TerminalB
bridge_1136	,	VSS!	,	DUT.I51.net021	,	DUT.I51.I170.I138.M128	,	nreg	,	s	,	g
bridge_1137	,	VSS!	,	DUT.I51.net021	,	DUT.I51.I170.I138.M120	,	nreg	,	s	,	g
bridge_1138	,	VSS!	,	DUT.I51.net032	,	DUT.I51.I4.ntrans25	,	nreg	,	s	,	d
bridge_1139	,	VSS!	,	DUT.I51.net26	,	DUT.I51.I162.I153.ntrans20	,	nreg	,	s	,	g
bridge_1140	,	VSS!	,	DUT.I51.net26	,	DUT.I51.I162.I140.M54	,	nreg	,	s	,	d
bridge_1141	,	VSS!	,	DUT.I51.net26	,	DUT.I51.I8.ntrans26	,	nreg	,	s	,	g
bridge_1142	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I170.I0.ntrans20	,	nreg	,	s	,	g
bridge_1143	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I170.I139.M54	,	nreg	,	s	,	d
bridge_1144	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I146.ntrans11	,	nreg	,	s	,	g
bridge_1145	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I140.M132	,	nreg	,	s	,	g
bridge_1146	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I140.M128	,	nreg	,	s	,	g
bridge_1147	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I140.M120	,	nreg	,	s	,	g
bridge_1148	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I138.M132	,	nreg	,	s	,	g
bridge_1149	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I138.M128	,	nreg	,	s	,	g
bridge_1150	,	VSS!	,	DUT.I51.net22	,	DUT.I51.I169.I138.M120	,	nreg	,	s	,	g
bridge_1151	,	VSS!	,	DUT.I51.net11	,	DUT.I51.I1.ntrans25	,	nreg	,	s	,	d
bridge_1152	,	VSS!	,	DUT.I51.net24	,	DUT.I51.I170.I153.ntrans20	,	nreg	,	s	,	g
bridge_1153	,	VSS!	,	DUT.I51.net24	,	DUT.I51.I170.I140.M54	,	nreg	,	s	,	d
bridge_1154	,	VSS!	,	DUT.I51.net24	,	DUT.I51.I4.ntrans26	,	nreg	,	s	,	g
bridge_1155	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I169.I0.ntrans20	,	nreg	,	s	,	g
bridge_1156	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I169.I139.M54	,	nreg	,	s	,	d
bridge_1157	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I146.ntrans11	,	nreg	,	s	,	g
bridge_1158	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I140.M132	,	nreg	,	s	,	g
bridge_1159	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I140.M128	,	nreg	,	s	,	g
bridge_1160	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I140.M120	,	nreg	,	s	,	g
bridge_1161	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I138.M132	,	nreg	,	s	,	g
bridge_1162	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I138.M128	,	nreg	,	s	,	g
bridge_1163	,	VSS!	,	DUT.I51.net20	,	DUT.I51.I168.I138.M120	,	nreg	,	s	,	g
bridge_1164	,	VSS!	,	DUT.I51.net14	,	DUT.I51.I2.ntrans25	,	nreg	,	s	,	d
bridge_1165	,	VSS!	,	DUT.I51.net21	,	DUT.I51.I169.I153.ntrans20	,	nreg	,	s	,	g
bridge_1166	,	VSS!	,	DUT.I51.net21	,	DUT.I51.I169.I140.M54	,	nreg	,	s	,	d
bridge_1167	,	VSS!	,	DUT.I51.net21	,	DUT.I51.I1.ntrans26	,	nreg	,	s	,	g
bridge_1168	,	VSS!	,	DUT.I51.net6	,	DUT.I51.I168.I0.ntrans20	,	nreg	,	s	,	g
bridge_1169	,	VSS!	,	DUT.I51.net6	,	DUT.I51.I168.I139.M54	,	nreg	,	s	,	d
bridge_1170	,	VSS!	,	DUT.I51.net19	,	DUT.I51.I168.I153.ntrans20	,	nreg	,	s	,	g
bridge_1171	,	VSS!	,	DUT.I51.net19	,	DUT.I51.I168.I140.M54	,	nreg	,	s	,	d
bridge_1172	,	VSS!	,	DUT.I51.net19	,	DUT.I51.I2.ntrans26	,	nreg	,	s	,	g
bridge_1173	,	VSS!	,	DUT.I51.net010	,	DUT.I51.I9.ntrans26	,	nreg	,	s	,	g
bridge_1174	,	VSS!	,	DUT.I51.net010	,	DUT.I51.I6.ntrans25	,	nreg	,	s	,	d
bridge_1175	,	VSS!	,	DUT.I51.net010	,	DUT.I51.I5.ntrans11	,	nreg	,	s	,	g
bridge_1176	,	VSS!	,	DUT.I51.net012	,	DUT.I51.I9.ntrans25	,	nreg	,	s	,	d
bridge_1177	,	VSS!	,	DUT.I51.net012	,	DUT.I51.I7.ntrans11	,	nreg	,	s	,	g
bridge_1178	,	VSS!	,	DUT.I51.net013	,	DUT.I51.I8.ntrans27	,	nreg	,	s	,	g
bridge_1179	,	VSS!	,	DUT.I51.net013	,	DUT.I51.I7.ntrans11	,	nreg	,	s	,	d
bridge_1180	,	VSS!	,	DUT.I51.net13	,	DUT.I51.I1.ntrans27	,	nreg	,	s	,	g
bridge_1181	,	VSS!	,	DUT.I51.net13	,	DUT.I51.I0.ntrans11	,	nreg	,	s	,	d
bridge_1182	,	VSS!	,	DUT.I51.net15	,	DUT.I51.I2.ntrans27	,	nreg	,	s	,	g
bridge_1183	,	VSS!	,	DUT.I51.net15	,	DUT.I51.I3.ntrans11	,	nreg	,	s	,	d
bridge_1184	,	VSS!	,	DUT.I51.net12	,	DUT.I51.I171.ntrans25	,	nreg	,	s	,	d
bridge_1185	,	VSS!	,	DUT.I51.net12	,	DUT.I51.I6.ntrans26	,	nreg	,	s	,	g
bridge_1186	,	VSS!	,	DUT.I51.net12	,	DUT.I51.I0.ntrans11	,	nreg	,	s	,	g
bridge_1187	,	VSS!	,	DUT.I51.net011	,	DUT.I51.I4.ntrans27	,	nreg	,	s	,	g
bridge_1188	,	VSS!	,	DUT.I51.net011	,	DUT.I51.I5.ntrans11	,	nreg	,	s	,	d
bridge_1189	,	VSS!	,	DUT.I51.I18.net39	,	DUT.I51.I18.ntrans22	,	nreg	,	s	,	g
bridge_1190	,	VSS!	,	DUT.I51.I18.net32	,	DUT.I51.I18.ntrans20	,	nreg	,	s	,	d
bridge_1191	,	VSS!	,	DUT.I51.I20.net39	,	DUT.I51.I20.ntrans22	,	nreg	,	s	,	g
bridge_1192	,	VSS!	,	DUT.I51.I20.net32	,	DUT.I51.I20.ntrans20	,	nreg	,	s	,	d
bridge_1193	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I146.ntrans11	,	nreg	,	s	,	d
bridge_1194	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I141.M132	,	nreg	,	s	,	g
bridge_1195	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I141.M128	,	nreg	,	s	,	g
bridge_1196	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I141.M120	,	nreg	,	s	,	g
bridge_1197	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I139.M132	,	nreg	,	s	,	g
bridge_1198	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I139.M128	,	nreg	,	s	,	g
bridge_1199	,	VSS!	,	DUT.I51.I164.net9	,	DUT.I51.I164.I139.M120	,	nreg	,	s	,	g
bridge_1200	,	VSS!	,	DUT.I51.I164.net20	,	DUT.I51.I164.I0.ntrans22	,	nreg	,	s	,	d
bridge_1201	,	VSS!	,	DUT.I51.I164.net20	,	DUT.I51.I164.I140.M45	,	nreg	,	s	,	g
bridge_1202	,	VSS!	,	DUT.I51.I164.net010	,	DUT.I51.I164.I139.M54	,	nreg	,	s	,	g
bridge_1203	,	VSS!	,	DUT.I51.I164.net13	,	DUT.I51.I164.I160.ntrans20	,	nreg	,	s	,	g
bridge_1204	,	VSS!	,	DUT.I51.I164.net13	,	DUT.I51.I164.I141.M54	,	nreg	,	s	,	g
bridge_1205	,	VSS!	,	DUT.I51.I164.net18	,	DUT.I51.I164.I160.ntrans22	,	nreg	,	s	,	d
bridge_1206	,	VSS!	,	DUT.I51.I164.net18	,	DUT.I51.I164.I138.M45	,	nreg	,	s	,	g
bridge_1207	,	VSS!	,	DUT.I51.I164.net19	,	DUT.I51.I164.I153.ntrans22	,	nreg	,	s	,	d
bridge_1208	,	VSS!	,	DUT.I51.I164.net19	,	DUT.I51.I164.I141.M45	,	nreg	,	s	,	g
bridge_1209	,	VSS!	,	DUT.I51.I164.net22	,	DUT.I51.I164.I141.M54	,	nreg	,	s	,	d
bridge_1210	,	VSS!	,	DUT.I51.I164.net23	,	DUT.I51.I164.I140.M54	,	nreg	,	s	,	g
bridge_1211	,	VSS!	,	DUT.I51.I164.net14	,	DUT.I51.I164.I139.M45	,	nreg	,	s	,	g
bridge_1212	,	VSS!	,	DUT.I51.I164.net14	,	DUT.I51.I164.I138.M54	,	nreg	,	s	,	d
bridge_1213	,	VSS!	,	DUT.I51.I164.net24	,	DUT.I51.I164.I138.M54	,	nreg	,	s	,	g
bridge_1214	,	VSS!	,	DUT.I51.I164.I0.net39	,	DUT.I51.I164.I0.ntrans22	,	nreg	,	s	,	g
bridge_1215	,	VSS!	,	DUT.I51.I164.I0.net32	,	DUT.I51.I164.I0.ntrans20	,	nreg	,	s	,	d
bridge_1216	,	VSS!	,	DUT.I51.I164.I160.net39	,	DUT.I51.I164.I160.ntrans22	,	nreg	,	s	,	g
bridge_1217	,	VSS!	,	DUT.I51.I164.I160.net32	,	DUT.I51.I164.I160.ntrans20	,	nreg	,	s	,	d
bridge_1218	,	VSS!	,	DUT.I51.I164.I153.net39	,	DUT.I51.I164.I153.ntrans22	,	nreg	,	s	,	g
bridge_1219	,	VSS!	,	DUT.I51.I164.I153.net32	,	DUT.I51.I164.I153.ntrans20	,	nreg	,	s	,	d
bridge_1220	,	VSS!	,	DUT.I51.I164.I141.net52	,	DUT.I51.I164.I141.M121	,	nreg	,	s	,	d
bridge_1221	,	VSS!	,	DUT.I51.I164.I141.b	,	DUT.I51.I164.I141.M121	,	nreg	,	s	,	g
bridge_1222	,	VSS!	,	DUT.I51.I164.I141.b	,	DUT.I51.I164.I141.M51	,	nreg	,	s	,	g
bridge_1223	,	VSS!	,	DUT.I51.I164.I141.net47	,	DUT.I51.I164.I141.M132	,	nreg	,	s	,	d
bridge_1224	,	VSS!	,	DUT.I51.I164.I141.a	,	DUT.I51.I164.I141.M45	,	nreg	,	s	,	d
bridge_1225	,	VSS!	,	DUT.I51.I164.I141.net49	,	DUT.I51.I164.I141.M128	,	nreg	,	s	,	d
bridge_1226	,	VSS!	,	DUT.I51.I164.I141.net38	,	DUT.I51.I164.I141.M120	,	nreg	,	s	,	d
bridge_1227	,	VSS!	,	DUT.I51.I164.I141.net36	,	DUT.I51.I164.I141.M51	,	nreg	,	s	,	d
bridge_1228	,	VSS!	,	DUT.I51.I164.I140.net52	,	DUT.I51.I164.I140.M121	,	nreg	,	s	,	d
bridge_1229	,	VSS!	,	DUT.I51.I164.I140.b	,	DUT.I51.I164.I140.M121	,	nreg	,	s	,	g
bridge_1230	,	VSS!	,	DUT.I51.I164.I140.b	,	DUT.I51.I164.I140.M51	,	nreg	,	s	,	g
bridge_1231	,	VSS!	,	DUT.I51.I164.I140.net47	,	DUT.I51.I164.I140.M132	,	nreg	,	s	,	d
bridge_1232	,	VSS!	,	DUT.I51.I164.I140.a	,	DUT.I51.I164.I140.M45	,	nreg	,	s	,	d
bridge_1233	,	VSS!	,	DUT.I51.I164.I140.net49	,	DUT.I51.I164.I140.M128	,	nreg	,	s	,	d
bridge_1234	,	VSS!	,	DUT.I51.I164.I140.net38	,	DUT.I51.I164.I140.M120	,	nreg	,	s	,	d
bridge_1235	,	VSS!	,	DUT.I51.I164.I140.net36	,	DUT.I51.I164.I140.M51	,	nreg	,	s	,	d
bridge_1236	,	VSS!	,	DUT.I51.I164.I139.net52	,	DUT.I51.I164.I139.M121	,	nreg	,	s	,	d
bridge_1237	,	VSS!	,	DUT.I51.I164.I139.b	,	DUT.I51.I164.I139.M121	,	nreg	,	s	,	g
bridge_1238	,	VSS!	,	DUT.I51.I164.I139.b	,	DUT.I51.I164.I139.M51	,	nreg	,	s	,	g
bridge_1239	,	VSS!	,	DUT.I51.I164.I139.net47	,	DUT.I51.I164.I139.M132	,	nreg	,	s	,	d
bridge_1240	,	VSS!	,	DUT.I51.I164.I139.a	,	DUT.I51.I164.I139.M45	,	nreg	,	s	,	d
bridge_1241	,	VSS!	,	DUT.I51.I164.I139.net49	,	DUT.I51.I164.I139.M128	,	nreg	,	s	,	d
bridge_1242	,	VSS!	,	DUT.I51.I164.I139.net38	,	DUT.I51.I164.I139.M120	,	nreg	,	s	,	d
bridge_1243	,	VSS!	,	DUT.I51.I164.I139.net36	,	DUT.I51.I164.I139.M51	,	nreg	,	s	,	d
bridge_1244	,	VSS!	,	DUT.I51.I164.I138.net52	,	DUT.I51.I164.I138.M121	,	nreg	,	s	,	d
bridge_1245	,	VSS!	,	DUT.I51.I164.I138.b	,	DUT.I51.I164.I138.M121	,	nreg	,	s	,	g
bridge_1246	,	VSS!	,	DUT.I51.I164.I138.b	,	DUT.I51.I164.I138.M51	,	nreg	,	s	,	g
bridge_1247	,	VSS!	,	DUT.I51.I164.I138.net47	,	DUT.I51.I164.I138.M132	,	nreg	,	s	,	d
bridge_1248	,	VSS!	,	DUT.I51.I164.I138.a	,	DUT.I51.I164.I138.M45	,	nreg	,	s	,	d
bridge_1249	,	VSS!	,	DUT.I51.I164.I138.net49	,	DUT.I51.I164.I138.M128	,	nreg	,	s	,	d
bridge_1250	,	VSS!	,	DUT.I51.I164.I138.net38	,	DUT.I51.I164.I138.M120	,	nreg	,	s	,	d
bridge_1251	,	VSS!	,	DUT.I51.I164.I138.net36	,	DUT.I51.I164.I138.M51	,	nreg	,	s	,	d
bridge_1252	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I146.ntrans11	,	nreg	,	s	,	d
bridge_1253	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I141.M132	,	nreg	,	s	,	g
bridge_1254	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I141.M128	,	nreg	,	s	,	g
bridge_1255	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I141.M120	,	nreg	,	s	,	g
bridge_1256	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I139.M132	,	nreg	,	s	,	g
bridge_1257	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I139.M128	,	nreg	,	s	,	g
bridge_1258	,	VSS!	,	DUT.I51.I163.net9	,	DUT.I51.I163.I139.M120	,	nreg	,	s	,	g
bridge_1259	,	VSS!	,	DUT.I51.I163.net20	,	DUT.I51.I163.I0.ntrans22	,	nreg	,	s	,	d
bridge_1260	,	VSS!	,	DUT.I51.I163.net20	,	DUT.I51.I163.I140.M45	,	nreg	,	s	,	g
bridge_1261	,	VSS!	,	DUT.I51.I163.net010	,	DUT.I51.I163.I139.M54	,	nreg	,	s	,	g
bridge_1262	,	VSS!	,	DUT.I51.I163.net13	,	DUT.I51.I163.I160.ntrans20	,	nreg	,	s	,	g
bridge_1263	,	VSS!	,	DUT.I51.I163.net13	,	DUT.I51.I163.I141.M54	,	nreg	,	s	,	g
bridge_1264	,	VSS!	,	DUT.I51.I163.net18	,	DUT.I51.I163.I160.ntrans22	,	nreg	,	s	,	d
bridge_1265	,	VSS!	,	DUT.I51.I163.net18	,	DUT.I51.I163.I138.M45	,	nreg	,	s	,	g
bridge_1266	,	VSS!	,	DUT.I51.I163.net19	,	DUT.I51.I163.I153.ntrans22	,	nreg	,	s	,	d
bridge_1267	,	VSS!	,	DUT.I51.I163.net19	,	DUT.I51.I163.I141.M45	,	nreg	,	s	,	g
bridge_1268	,	VSS!	,	DUT.I51.I163.net22	,	DUT.I51.I163.I141.M54	,	nreg	,	s	,	d
bridge_1269	,	VSS!	,	DUT.I51.I163.net23	,	DUT.I51.I163.I140.M54	,	nreg	,	s	,	g
bridge_1270	,	VSS!	,	DUT.I51.I163.net14	,	DUT.I51.I163.I139.M45	,	nreg	,	s	,	g
bridge_1271	,	VSS!	,	DUT.I51.I163.net14	,	DUT.I51.I163.I138.M54	,	nreg	,	s	,	d
bridge_1272	,	VSS!	,	DUT.I51.I163.net24	,	DUT.I51.I163.I138.M54	,	nreg	,	s	,	g
bridge_1273	,	VSS!	,	DUT.I51.I163.I0.net39	,	DUT.I51.I163.I0.ntrans22	,	nreg	,	s	,	g
bridge_1274	,	VSS!	,	DUT.I51.I163.I0.net32	,	DUT.I51.I163.I0.ntrans20	,	nreg	,	s	,	d
bridge_1275	,	VSS!	,	DUT.I51.I163.I160.net39	,	DUT.I51.I163.I160.ntrans22	,	nreg	,	s	,	g
bridge_1276	,	VSS!	,	DUT.I51.I163.I160.net32	,	DUT.I51.I163.I160.ntrans20	,	nreg	,	s	,	d
bridge_1277	,	VSS!	,	DUT.I51.I163.I153.net39	,	DUT.I51.I163.I153.ntrans22	,	nreg	,	s	,	g
bridge_1278	,	VSS!	,	DUT.I51.I163.I153.net32	,	DUT.I51.I163.I153.ntrans20	,	nreg	,	s	,	d
bridge_1279	,	VSS!	,	DUT.I51.I163.I141.net52	,	DUT.I51.I163.I141.M121	,	nreg	,	s	,	d
bridge_1280	,	VSS!	,	DUT.I51.I163.I141.b	,	DUT.I51.I163.I141.M121	,	nreg	,	s	,	g
bridge_1281	,	VSS!	,	DUT.I51.I163.I141.b	,	DUT.I51.I163.I141.M51	,	nreg	,	s	,	g
bridge_1282	,	VSS!	,	DUT.I51.I163.I141.net47	,	DUT.I51.I163.I141.M132	,	nreg	,	s	,	d
bridge_1283	,	VSS!	,	DUT.I51.I163.I141.a	,	DUT.I51.I163.I141.M45	,	nreg	,	s	,	d
bridge_1284	,	VSS!	,	DUT.I51.I163.I141.net49	,	DUT.I51.I163.I141.M128	,	nreg	,	s	,	d
bridge_1285	,	VSS!	,	DUT.I51.I163.I141.net38	,	DUT.I51.I163.I141.M120	,	nreg	,	s	,	d
bridge_1286	,	VSS!	,	DUT.I51.I163.I141.net36	,	DUT.I51.I163.I141.M51	,	nreg	,	s	,	d
bridge_1287	,	VSS!	,	DUT.I51.I163.I140.net52	,	DUT.I51.I163.I140.M121	,	nreg	,	s	,	d
bridge_1288	,	VSS!	,	DUT.I51.I163.I140.b	,	DUT.I51.I163.I140.M121	,	nreg	,	s	,	g
bridge_1289	,	VSS!	,	DUT.I51.I163.I140.b	,	DUT.I51.I163.I140.M51	,	nreg	,	s	,	g
bridge_1290	,	VSS!	,	DUT.I51.I163.I140.net47	,	DUT.I51.I163.I140.M132	,	nreg	,	s	,	d
bridge_1291	,	VSS!	,	DUT.I51.I163.I140.a	,	DUT.I51.I163.I140.M45	,	nreg	,	s	,	d
bridge_1292	,	VSS!	,	DUT.I51.I163.I140.net49	,	DUT.I51.I163.I140.M128	,	nreg	,	s	,	d
bridge_1293	,	VSS!	,	DUT.I51.I163.I140.net38	,	DUT.I51.I163.I140.M120	,	nreg	,	s	,	d
bridge_1294	,	VSS!	,	DUT.I51.I163.I140.net36	,	DUT.I51.I163.I140.M51	,	nreg	,	s	,	d
bridge_1295	,	VSS!	,	DUT.I51.I163.I139.net52	,	DUT.I51.I163.I139.M121	,	nreg	,	s	,	d
bridge_1296	,	VSS!	,	DUT.I51.I163.I139.b	,	DUT.I51.I163.I139.M121	,	nreg	,	s	,	g
bridge_1297	,	VSS!	,	DUT.I51.I163.I139.b	,	DUT.I51.I163.I139.M51	,	nreg	,	s	,	g
bridge_1298	,	VSS!	,	DUT.I51.I163.I139.net47	,	DUT.I51.I163.I139.M132	,	nreg	,	s	,	d
bridge_1299	,	VSS!	,	DUT.I51.I163.I139.a	,	DUT.I51.I163.I139.M45	,	nreg	,	s	,	d
bridge_1300	,	VSS!	,	DUT.I51.I163.I139.net49	,	DUT.I51.I163.I139.M128	,	nreg	,	s	,	d
bridge_1301	,	VSS!	,	DUT.I51.I163.I139.net38	,	DUT.I51.I163.I139.M120	,	nreg	,	s	,	d
bridge_1302	,	VSS!	,	DUT.I51.I163.I139.net36	,	DUT.I51.I163.I139.M51	,	nreg	,	s	,	d
bridge_1303	,	VSS!	,	DUT.I51.I163.I138.net52	,	DUT.I51.I163.I138.M121	,	nreg	,	s	,	d
bridge_1304	,	VSS!	,	DUT.I51.I163.I138.b	,	DUT.I51.I163.I138.M121	,	nreg	,	s	,	g
bridge_1305	,	VSS!	,	DUT.I51.I163.I138.b	,	DUT.I51.I163.I138.M51	,	nreg	,	s	,	g
bridge_1306	,	VSS!	,	DUT.I51.I163.I138.net47	,	DUT.I51.I163.I138.M132	,	nreg	,	s	,	d
bridge_1307	,	VSS!	,	DUT.I51.I163.I138.a	,	DUT.I51.I163.I138.M45	,	nreg	,	s	,	d
bridge_1308	,	VSS!	,	DUT.I51.I163.I138.net49	,	DUT.I51.I163.I138.M128	,	nreg	,	s	,	d
bridge_1309	,	VSS!	,	DUT.I51.I163.I138.net38	,	DUT.I51.I163.I138.M120	,	nreg	,	s	,	d
bridge_1310	,	VSS!	,	DUT.I51.I163.I138.net36	,	DUT.I51.I163.I138.M51	,	nreg	,	s	,	d
bridge_1311	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I146.ntrans11	,	nreg	,	s	,	d
bridge_1312	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I141.M132	,	nreg	,	s	,	g
bridge_1313	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I141.M128	,	nreg	,	s	,	g
bridge_1314	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I141.M120	,	nreg	,	s	,	g
bridge_1315	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I139.M132	,	nreg	,	s	,	g
bridge_1316	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I139.M128	,	nreg	,	s	,	g
bridge_1317	,	VSS!	,	DUT.I51.I162.net9	,	DUT.I51.I162.I139.M120	,	nreg	,	s	,	g
bridge_1318	,	VSS!	,	DUT.I51.I162.net20	,	DUT.I51.I162.I0.ntrans22	,	nreg	,	s	,	d
bridge_1319	,	VSS!	,	DUT.I51.I162.net20	,	DUT.I51.I162.I140.M45	,	nreg	,	s	,	g
bridge_1320	,	VSS!	,	DUT.I51.I162.net010	,	DUT.I51.I162.I139.M54	,	nreg	,	s	,	g
bridge_1321	,	VSS!	,	DUT.I51.I162.net13	,	DUT.I51.I162.I160.ntrans20	,	nreg	,	s	,	g
bridge_1322	,	VSS!	,	DUT.I51.I162.net13	,	DUT.I51.I162.I141.M54	,	nreg	,	s	,	g
bridge_1323	,	VSS!	,	DUT.I51.I162.net18	,	DUT.I51.I162.I160.ntrans22	,	nreg	,	s	,	d
bridge_1324	,	VSS!	,	DUT.I51.I162.net18	,	DUT.I51.I162.I138.M45	,	nreg	,	s	,	g
bridge_1325	,	VSS!	,	DUT.I51.I162.net19	,	DUT.I51.I162.I153.ntrans22	,	nreg	,	s	,	d
bridge_1326	,	VSS!	,	DUT.I51.I162.net19	,	DUT.I51.I162.I141.M45	,	nreg	,	s	,	g
bridge_1327	,	VSS!	,	DUT.I51.I162.net22	,	DUT.I51.I162.I141.M54	,	nreg	,	s	,	d
bridge_1328	,	VSS!	,	DUT.I51.I162.net23	,	DUT.I51.I162.I140.M54	,	nreg	,	s	,	g
bridge_1329	,	VSS!	,	DUT.I51.I162.net14	,	DUT.I51.I162.I139.M45	,	nreg	,	s	,	g
bridge_1330	,	VSS!	,	DUT.I51.I162.net14	,	DUT.I51.I162.I138.M54	,	nreg	,	s	,	d
bridge_1331	,	VSS!	,	DUT.I51.I162.net24	,	DUT.I51.I162.I138.M54	,	nreg	,	s	,	g
bridge_1332	,	VSS!	,	DUT.I51.I162.I0.net39	,	DUT.I51.I162.I0.ntrans22	,	nreg	,	s	,	g
bridge_1333	,	VSS!	,	DUT.I51.I162.I0.net32	,	DUT.I51.I162.I0.ntrans20	,	nreg	,	s	,	d
bridge_1334	,	VSS!	,	DUT.I51.I162.I160.net39	,	DUT.I51.I162.I160.ntrans22	,	nreg	,	s	,	g
bridge_1335	,	VSS!	,	DUT.I51.I162.I160.net32	,	DUT.I51.I162.I160.ntrans20	,	nreg	,	s	,	d
bridge_1336	,	VSS!	,	DUT.I51.I162.I153.net39	,	DUT.I51.I162.I153.ntrans22	,	nreg	,	s	,	g
bridge_1337	,	VSS!	,	DUT.I51.I162.I153.net32	,	DUT.I51.I162.I153.ntrans20	,	nreg	,	s	,	d
bridge_1338	,	VSS!	,	DUT.I51.I162.I141.net52	,	DUT.I51.I162.I141.M121	,	nreg	,	s	,	d
bridge_1339	,	VSS!	,	DUT.I51.I162.I141.b	,	DUT.I51.I162.I141.M121	,	nreg	,	s	,	g
bridge_1340	,	VSS!	,	DUT.I51.I162.I141.b	,	DUT.I51.I162.I141.M51	,	nreg	,	s	,	g
bridge_1341	,	VSS!	,	DUT.I51.I162.I141.net47	,	DUT.I51.I162.I141.M132	,	nreg	,	s	,	d
bridge_1342	,	VSS!	,	DUT.I51.I162.I141.a	,	DUT.I51.I162.I141.M45	,	nreg	,	s	,	d
bridge_1343	,	VSS!	,	DUT.I51.I162.I141.net49	,	DUT.I51.I162.I141.M128	,	nreg	,	s	,	d
bridge_1344	,	VSS!	,	DUT.I51.I162.I141.net38	,	DUT.I51.I162.I141.M120	,	nreg	,	s	,	d
bridge_1345	,	VSS!	,	DUT.I51.I162.I141.net36	,	DUT.I51.I162.I141.M51	,	nreg	,	s	,	d
bridge_1346	,	VSS!	,	DUT.I51.I162.I140.net52	,	DUT.I51.I162.I140.M121	,	nreg	,	s	,	d
bridge_1347	,	VSS!	,	DUT.I51.I162.I140.b	,	DUT.I51.I162.I140.M121	,	nreg	,	s	,	g
bridge_1348	,	VSS!	,	DUT.I51.I162.I140.b	,	DUT.I51.I162.I140.M51	,	nreg	,	s	,	g
bridge_1349	,	VSS!	,	DUT.I51.I162.I140.net47	,	DUT.I51.I162.I140.M132	,	nreg	,	s	,	d
bridge_1350	,	VSS!	,	DUT.I51.I162.I140.a	,	DUT.I51.I162.I140.M45	,	nreg	,	s	,	d
