* Disclaimer:
* THIS FILE IS PROVIDED AS IS AND WITH:
* (A)  NO WARRANTY OF ANY KIND, express, implied or statutory, including any implied warranties of merchantability, fitness for a particular purpose and noninfringement, which Infineon disclaims to the maximum extent permitted by applicable law; and
* (B)  NO INDEMNIFICATION FOR INFRINGEMENT OF INTELLECTUAL PROPERTY RIGHTS.
* LIMITATION OF LIABILITY:  IN NO EVENT SHALL INFINEON BE LIABLE FOR ANY DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES (INCLUDING LOST PROFITS OR SAVINGS) WHATSOEVER, WHETHER BASED ON CONTRACT, TORT OR 
Defect_short_303,VSS!,I83.I7.net020,I83.I7.I48.ntrans11,nana,s,d
Defect_short_304,VSS!,I83.I7.net020,I83.I7.I35.ntrans11,nana,s,g
Defect_short_305,VSS!,I83.I7.net020,I83.I7.I31.ntrans11,nana,s,d
Defect_short_306,VSS!,I83.I7.net020,I83.I7.I33.ntrans11,nana,s,g
Defect_short_307,VSS!,I83.I7.net050,I83.I7.I143.ntrans11,nana,s,d
Defect_short_308,VSS!,I83.I7.net050,I83.I7.I107.ntrans18,nana,s,g
Defect_short_309,VSS!,I83.I7.net017,I83.I7.I49.ntrans11,nana,s,d
Defect_short_310,VSS!,I83.I7.net017,I83.I7.I146.ptrans10,pana,g,d
Defect_short_311,VSS!,I83.I7.I118.net031,I83.I7.I118.ntrans13,nana,s,d
Defect_short_312,VSS!,I83.I7.I118.net031,I83.I7.I118.N0_turbo_m2,nana,d,g
Defect_short_313,VSS!,I83.I7.I118.net031,I83.I7.I118.N10,nana,s,g
Defect_short_314,VSS!,I83.I7.I119.net031,I83.I7.I119.ntrans13,nana,s,d
Defect_short_315,VSS!,I83.I7.I119.net031,I83.I7.I119.N0_turbo_m2,nana,d,g
Defect_short_316,VSS!,I83.I7.I119.net031,I83.I7.I119.N10,nana,s,g
Defect_short_317,VSS!,I83.I7.I136.net39,I83.I7.I136.ntrans22,nana,s,g
Defect_short_318,VSS!,I83.I7.I136.net32,I83.I7.I136.ntrans20,nana,s,d
Defect_short_319,VSS!,I83.I7.I137.net39,I83.I7.I137.ntrans22,nana,s,g
Defect_short_320,VSS!,I83.I7.I137.net32,I83.I7.I137.ntrans20,nana,s,d
Defect_short_321,VSS!,I83.I7.I94.net24,I83.I7.I94.ntrans13,nana,s,d
Defect_short_322,VSS!,I83.I7.I94.net24,I83.I7.I94.ntrans12,nana,s,g
Defect_short_323,clk,VDDa_pulsed,I83.I63.ptrans38,pana,g,s
Defect_short_324,clk,I83.net062,I83.I63.ptrans38,pana,g,d
Defect_short_325,clk,I83.I63.net25,I83.I63.ntrans36,nana,g,d
Defect_short_326,vout,VDDa_pulsed,I83.I9.M0,pana,d,s
Defect_short_327,vout,I83.gate,I83.I9.M1\<23\>_turbo_m24,nana,s,g
Defect_short_328,vout,I83.feedback,I83.I9.R2,resistor,1,2
Defect_short_329,vout,I83.I9.net07,I83.I9.M1\<23\>_turbo_m24,nana,s,d
Defect_short_330,vout,I83.I9.net07,I83.I9.M0,pana,d,g
Defect_short_331,iin,I83.I7.enable,I83.I7.M40,nana,d,g
Defect_short_332,iin,I83.I7.vb_n,I83.I7.N17,nana,d,s
Defect_short_333,iin,I83.I7.net060,I83.I7.N17,nana,d,g
Defect_short_334,iin,I83.I7.net060,I83.I7.M40,nana,d,s
Defect_short_335,disable,I83.I5.net26,I83.I5.ntrans27,nana,g,d
Defect_short_336,disable,I83.I5.net26,I83.I5.ptrans24,pana,g,d
Defect_short_337,disable,I83.I5.net41,I83.I5.ptrans24,pana,g,s
Defect_short_338,overvoltage,VDDa_pulsed,I83.I65.ptrans10,pana,d,s
Defect_short_339,overvoltage,I83.net059,I83.I65.ntrans11,nana,d,g
Defect_short_340,overvoltage,I83.net059,I83.I65.ptrans10,pana,d,g
Defect_short_341,overvoltage,I83.I62.net26,I83.I62.ntrans27,nana,g,d
Defect_short_342,overvoltage,I83.I62.net26,I83.I62.ptrans24,pana,g,d
Defect_short_343,overvoltage,I83.I62.net41,I83.I62.ptrans24,pana,g,s
Defect_short_344,undervoltage,VDDa_pulsed,I83.I62.ptrans23,pana,g,s
Defect_short_345,undervoltage,VDDa_pulsed,I83.I64.ptrans10,pana,d,s
Defect_short_346,undervoltage,I83.net060,I83.I64.ntrans11,nana,d,g
Defect_short_347,undervoltage,I83.net060,I83.I64.ptrans10,pana,d,g
Defect_short_348,undervoltage,I83.I62.net26,I83.I62.ntrans26,nana,g,d
Defect_short_349,undervoltage,I83.I62.net41,I83.I62.ptrans23,pana,g,d
Defect_short_350,ref,I83.disable,I83.M2,pana,s,g
Defect_short_351,ref,I83.vref,I83.M2,pana,s,d
Defect_short_352,ref,I83.I11.net11,I83.I11.M4,nana,g,s
Defect_short_353,ref,I83.I11.net018,I83.I11.M4,nana,g,d
Defect_short_354,ref,I83.I69.net012,I83.I69.M5,nana,g,d
Defect_short_355,ref,I83.I69.net11,I83.I69.M5,nana,g,s
Defect_short_356,VDDa_pulsed,I83.net16,I83.I137.ptrans24,pana,s,g
Defect_short_357,VDDa_pulsed,I83.net16,I83.I68.I8.ptrans38,pana,s,g
Defect_short_358,VDDa_pulsed,I83.net16,I83.I68.I7.ptrans38,pana,s,d
Defect_short_359,VDDa_pulsed,I83.net16,I83.I68.I7.ptrans37,pana,s,d
Defect_short_360,VDDa_pulsed,I83.net16,I83.I68.I3.ptrans37,pana,s,g
Defect_short_361,VDDa_pulsed,I83.enable,I83.I137.ptrans23,pana,s,g
Defect_short_362,VDDa_pulsed,I83.enable,I83.I136.ptrans23,pana,s,g
Defect_short_363,VDDa_pulsed,I83.enable,I83.I6.ptrans10,pana,s,d
Defect_short_364,VDDa_pulsed,I83.enable,I83.I63.ptrans37,pana,s,g
Defect_short_365,VDDa_pulsed,I83.enable,I83.I7.I92.ptrans10,pana,s,g
Defect_short_366,VDDa_pulsed,I83.enable,I83.I7.I94.ptrans15,pana,s,g
Defect_short_367,VDDa_pulsed,I83.net023,I83.I137.ptrans25,pana,s,d
Defect_short_368,VDDa_pulsed,I83.net023,I83.I49.ptrans10,pana,s,g
Defect_short_369,VDDa_pulsed,I83.net023,I83.I47.ptrans10,pana,s,g
Defect_short_370,VDDa_pulsed,I83.net11,I83.I136.ptrans24,pana,s,g
Defect_short_371,VDDa_pulsed,I83.net11,I83.I68.I8.ptrans38,pana,s,d
Defect_short_372,VDDa_pulsed,I83.net11,I83.I68.I8.ptrans37,pana,s,d
Defect_short_373,VDDa_pulsed,I83.net11,I83.I68.I7.ptrans38,pana,s,g
Defect_short_374,VDDa_pulsed,I83.net11,I83.I68.I105.ptrans37,pana,s,g
Defect_short_375,VDDa_pulsed,I83.net028,I83.I136.ptrans25,pana,s,d
Defect_short_376,VDDa_pulsed,I83.net028,I83.I38.ptrans10,pana,s,g
Defect_short_377,VDDa_pulsed,I83.net028,I83.I37.ptrans10,pana,s,g
Defect_short_378,VDDa_pulsed,I83.net060,I83.I11.I5.ptrans10,pana,s,d
Defect_short_379,VDDa_pulsed,I83.net060,I83.I64.ptrans10,pana,s,g
Defect_short_380,VDDa_pulsed,I83.vth_h,I83.R0,resistor,1,2
Defect_short_381,VDDa_pulsed,I83.net059,I83.I69.I5.ptrans10,pana,s,d
Defect_short_382,VDDa_pulsed,I83.net059,I83.I65.ptrans10,pana,s,g
Defect_short_383,VDDa_pulsed,I83.err,I83.I62.ptrans22,pana,s,d
Defect_short_384,VDDa_pulsed,I83.err,I83.I5.ptrans23,pana,s,g
Defect_short_385,VDDa_pulsed,I83.disable,I83.I5.ptrans22,pana,s,d
Defect_short_386,VDDa_pulsed,I83.disable,I83.I6.ptrans10,pana,s,g
Defect_short_387,VDDa_pulsed,I83.disable,I83.I8.I92.ptrans10,pana,s,g
Defect_short_388,VDDa_pulsed,I83.disable,I83.I9.I64.ptrans10,pana,s,g
Defect_short_389,VDDa_pulsed,I83.disable,I83.I9.M2,pana,s,g
Defect_short_390,VDDa_pulsed,I83.net062,I83.I41.ptrans15,pana,s,g
Defect_short_391,VDDa_pulsed,I83.net062,I83.I63.ptrans38,pana,s,d
Defect_short_392,VDDa_pulsed,I83.net062,I83.I63.ptrans37,pana,s,d
Defect_short_393,VDDa_pulsed,I83.net062,I83.I40.ptrans10,pana,s,g
Defect_short_394,VDDa_pulsed,I83.net14,I83.I41.ptrans14,pana,s,d
Defect_short_395,VDDa_pulsed,I83.net14,I83.I68.I4.ptrans38,pana,s,g
Defect_short_396,VDDa_pulsed,I83.net14,I83.I68.I4.ptrans37,pana,s,g
Defect_short_397,VDDa_pulsed,I83.net14,I83.I68.I3.ptrans38,pana,s,g
Defect_short_398,VDDa_pulsed,I83.net14,I83.I68.I105.ptrans38,pana,s,g
Defect_short_399,VDDa_pulsed,I83.net072,I83.I35.ptrans10,pana,s,g
Defect_short_400,VDDa_pulsed,I83.net072,I83.I48.ptrans10,pana,s,d
Defect_short_401,VDDa_pulsed,I83.net072,I83.I33.ptrans10,pana,s,g
Defect_short_402,VDDa_pulsed,I83.net072,I83.I31.ptrans10,pana,s,d
Defect_short_403,VDDa_pulsed,I83.S0_n,I83.I35.ptrans10,pana,s,d
Defect_short_404,VDDa_pulsed,I83.S0_n,I83.I30.ptrans10,pana,s,d
Defect_short_405,VDDa_pulsed,I83.S0_n,I83.I27.ptrans10,pana,s,g
Defect_short_406,VDDa_pulsed,I83.net031,I83.I34.ptrans10,pana,s,g
Defect_short_407,VDDa_pulsed,I83.net031,I83.I33.ptrans10,pana,s,d
Defect_short_408,VDDa_pulsed,I83.net031,I83.I31.ptrans10,pana,s,g
Defect_short_409,VDDa_pulsed,I83.net031,I83.I57.ntrans11,nana,g,s
Defect_short_410,VDDa_pulsed,I83.S0,I83.I34.ptrans10,pana,s,d
Defect_short_411,VDDa_pulsed,I83.S0,I83.I30.ptrans10,pana,s,g
Defect_short_412,VDDa_pulsed,I83.S0,I83.I27.ptrans10,pana,s,d
Defect_short_413,VDDa_pulsed,I83.net033,I83.I20.ptrans10,pana,s,g
Defect_short_414,VDDa_pulsed,I83.net033,I83.I17.ptrans10,pana,s,g
Defect_short_415,VDDa_pulsed,I83.net033,I83.I18.ptrans10,pana,s,d
Defect_short_416,VDDa_pulsed,I83.net033,I83.I56.ntrans11,nana,g,s
Defect_short_417,VDDa_pulsed,I83.S1,I83.I20.ptrans10,pana,s,d
Defect_short_418,VDDa_pulsed,I83.S1,I83.I23.ptrans10,pana,s,g
Defect_short_419,VDDa_pulsed,I83.S1,I83.I24.ptrans10,pana,s,d
Defect_short_420,VDDa_pulsed,I83.net030,I83.I19.ptrans10,pana,s,g
Defect_short_421,VDDa_pulsed,I83.net030,I83.I46.ptrans10,pana,s,d
Defect_short_422,VDDa_pulsed,I83.net030,I83.I17.ptrans10,pana,s,d
Defect_short_423,VDDa_pulsed,I83.net030,I83.I18.ptrans10,pana,s,g
Defect_short_424,VDDa_pulsed,I83.S1_n,I83.I19.ptrans10,pana,s,d
Defect_short_425,VDDa_pulsed,I83.S1_n,I83.I23.ptrans10,pana,s,d
Defect_short_426,VDDa_pulsed,I83.S1_n,I83.I24.ptrans10,pana,s,g
Defect_short_427,VDDa_pulsed,I83.net026,I83.I38.ptrans10,pana,s,d
Defect_short_428,VDDa_pulsed,I83.net026,I83.I56.ntrans11,nana,g,d
Defect_short_429,VDDa_pulsed,I83.net024,I83.I49.ptrans10,pana,s,d
Defect_short_430,VDDa_pulsed,I83.net024,I83.I57.ntrans11,nana,g,d
Defect_short_431,VDDa_pulsed,I83.net061,I83.I37.ptrans10,pana,s,d
Defect_short_432,VDDa_pulsed,I83.net061,I83.I46.ptrans10,pana,s,g
Defect_short_433,VDDa_pulsed,I83.net056,I83.I47.ptrans10,pana,s,d
Defect_short_434,VDDa_pulsed,I83.net056,I83.I48.ptrans10,pana,s,g
Defect_short_435,VDDa_pulsed,I83.amp_out,I83.I7.M35,nana,g,s
Defect_short_436,VDDa_pulsed,I83.amp_out,I83.I7.M11,pana,s,d
Defect_short_437,VDDa_pulsed,I83.net13,I83.I40.ptrans10,pana,s,d
Defect_short_438,VDDa_pulsed,I83.net13,I83.I32.I4.ptrans38,pana,s,g
Defect_short_439,VDDa_pulsed,I83.net13,I83.I32.I4.ptrans37,pana,s,g
Defect_short_440,VDDa_pulsed,I83.net13,I83.I32.I3.ptrans38,pana,s,g
Defect_short_441,VDDa_pulsed,I83.net13,I83.I32.I105.ptrans38,pana,s,g
Defect_short_442,VDDa_pulsed,I83.net23,I83.I32.I8.ptrans38,pana,s,d
Defect_short_443,VDDa_pulsed,I83.net23,I83.I32.I8.ptrans37,pana,s,d
Defect_short_444,VDDa_pulsed,I83.net23,I83.I32.I7.ptrans38,pana,s,g
Defect_short_445,VDDa_pulsed,I83.net23,I83.I32.I105.ptrans37,pana,s,g
Defect_short_446,VDDa_pulsed,I83.net12,I83.I32.I8.ptrans38,pana,s,g
Defect_short_447,VDDa_pulsed,I83.net12,I83.I32.I7.ptrans38,pana,s,d
Defect_short_448,VDDa_pulsed,I83.net12,I83.I32.I7.ptrans37,pana,s,d
Defect_short_449,VDDa_pulsed,I83.net12,I83.I32.I3.ptrans37,pana,s,g
Defect_short_450,VDDa_pulsed,I83.net12,I83.I7.I143.ptrans10,pana,s,g
Defect_short_451,VDDa_pulsed,I83.I137.net39,I83.I137.ptrans25,pana,s,g
Defect_short_452,VDDa_pulsed,I83.I137.net39,I83.I137.ptrans24,pana,s,d
Defect_short_453,VDDa_pulsed,I83.I137.net39,I83.I137.ptrans23,pana,s,d
Defect_short_454,VDDa_pulsed,I83.I136.net39,I83.I136.ptrans25,pana,s,g
Defect_short_455,VDDa_pulsed,I83.I136.net39,I83.I136.ptrans24,pana,s,d
Defect_short_456,VDDa_pulsed,I83.I136.net39,I83.I136.ptrans23,pana,s,d
Defect_short_457,VDDa_pulsed,I83.I11.net011,I83.I11.I5.ptrans10,pana,s,g
Defect_short_458,VDDa_pulsed,I83.I11.net011,I83.I11.M17,pana,s,d
Defect_short_459,VDDa_pulsed,I83.I11.net017,I83.I11.M9,pana,s,d
Defect_short_460,VDDa_pulsed,I83.I11.net022,I83.I11.M10,pana,s,d
Defect_short_461,VDDa_pulsed,I83.I11.net013,I83.I11.M18,pana,s,d
Defect_short_462,VDDa_pulsed,I83.I11.net013,I83.I11.M17,pana,s,g
Defect_short_463,VDDa_pulsed,I83.I11.net012,I83.I11.M2,pana,s,d
Defect_short_464,VDDa_pulsed,I83.I11.net012,I83.I11.M9,pana,s,g
Defect_short_465,VDDa_pulsed,I83.I11.net018,I83.I11.M6,pana,s,d
Defect_short_466,VDDa_pulsed,I83.I11.net018,I83.I11.M10,pana,s,g
Defect_short_467,VDDa_pulsed,I83.I69.net011,I83.I69.I5.ptrans10,pana,s,g
Defect_short_468,VDDa_pulsed,I83.I69.net011,I83.I69.M17,pana,s,d
Defect_short_469,VDDa_pulsed,I83.I69.net017,I83.I69.M9,pana,s,d
Defect_short_470,VDDa_pulsed,I83.I69.net022,I83.I69.M10,pana,s,d
Defect_short_471,VDDa_pulsed,I83.I69.net013,I83.I69.M18,pana,s,d
Defect_short_472,VDDa_pulsed,I83.I69.net013,I83.I69.M17,pana,s,g
Defect_short_473,VDDa_pulsed,I83.I69.net012,I83.I69.M2,pana,s,d
Defect_short_474,VDDa_pulsed,I83.I69.net012,I83.I69.M9,pana,s,g
Defect_short_475,VDDa_pulsed,I83.I69.net018,I83.I69.M6,pana,s,d
Defect_short_476,VDDa_pulsed,I83.I69.net018,I83.I69.M10,pana,s,g
Defect_short_477,VDDa_pulsed,I83.I62.net26,I83.I62.ptrans22,pana,s,g
Defect_short_478,VDDa_pulsed,I83.I62.net41,I83.I62.ptrans23,pana,s,d
Defect_short_479,VDDa_pulsed,I83.I5.net26,I83.I5.ptrans22,pana,s,g
Defect_short_480,VDDa_pulsed,I83.I5.net41,I83.I5.ptrans23,pana,s,d
Defect_short_481,VDDa_pulsed,I83.I41.net24,I83.I41.ptrans15,pana,s,d
Defect_short_482,VDDa_pulsed,I83.I41.net24,I83.I41.ptrans14,pana,s,g
Defect_short_483,VDDa_pulsed,I83.I8.net027,I83.I8.M1,pana,s,d
Defect_short_484,VDDa_pulsed,I83.I8.net028,I83.I8.M3,pana,s,d
Defect_short_485,VDDa_pulsed,I83.I8.net011,I83.I8.I92.ptrans10,pana,s,d
Defect_short_486,VDDa_pulsed,I83.I8.net011,I83.I8.M3,pana,s,g
Defect_short_487,VDDa_pulsed,I83.I8.net011,I83.I8.M1,pana,s,g
Defect_short_488,VDDa_pulsed,I83.I9.net010,I83.I9.I64.ptrans10,pana,s,d
Defect_short_489,VDDa_pulsed,I83.I9.net010,I83.I9.M3,pana,s,g
Defect_short_490,VDDa_pulsed,I83.I9.net07,I83.I9.M3,pana,s,d
Defect_short_491,VDDa_pulsed,I83.I9.net07,I83.I9.M2,pana,s,d
Defect_short_492,VDDa_pulsed,I83.I9.net07,I83.I9.M0,pana,s,g
Defect_short_493,VDDa_pulsed,I83.I32.net13,I83.I32.I8.ptrans37,pana,s,g
Defect_short_494,VDDa_pulsed,I83.I32.net13,I83.I32.I6.ptrans38,pana,s,d
Defect_short_495,VDDa_pulsed,I83.I32.net13,I83.I32.I6.ptrans37,pana,s,d
Defect_short_496,VDDa_pulsed,I83.I32.net14,I83.I32.I7.ptrans37,pana,s,g
Defect_short_497,VDDa_pulsed,I83.I32.net14,I83.I32.I5.ptrans38,pana,s,d
Defect_short_498,VDDa_pulsed,I83.I32.net14,I83.I32.I5.ptrans37,pana,s,d
Defect_short_499,VDDa_pulsed,I83.I32.net11,I83.I32.I6.ptrans37,pana,s,g
Defect_short_500,VDDa_pulsed,I83.I32.net11,I83.I32.I2.ptrans38,pana,s,d
Defect_short_501,VDDa_pulsed,I83.I32.net11,I83.I32.I2.ptrans37,pana,s,d
Defect_short_502,VDDa_pulsed,I83.I32.net11,I83.I32.I1.ptrans38,pana,s,g
Defect_short_503,VDDa_pulsed,I83.I32.net7,I83.I32.I6.ptrans38,pana,s,g
Defect_short_504,VDDa_pulsed,I83.I32.net7,I83.I32.I5.ptrans38,pana,s,g
Defect_short_505,VDDa_pulsed,I83.I32.net7,I83.I32.I4.ptrans38,pana,s,d
Defect_short_506,VDDa_pulsed,I83.I32.net7,I83.I32.I4.ptrans37,pana,s,d
Defect_short_507,VDDa_pulsed,I83.I32.net12,I83.I32.I5.ptrans37,pana,s,g
Defect_short_508,VDDa_pulsed,I83.I32.net12,I83.I32.I2.ptrans38,pana,s,g
Defect_short_509,VDDa_pulsed,I83.I32.net12,I83.I32.I1.ptrans38,pana,s,d
Defect_short_510,VDDa_pulsed,I83.I32.net12,I83.I32.I1.ptrans37,pana,s,d
Defect_short_511,VDDa_pulsed,I83.I32.net17,I83.I32.I3.ptrans38,pana,s,d
Defect_short_512,VDDa_pulsed,I83.I32.net17,I83.I32.I3.ptrans37,pana,s,d
Defect_short_513,VDDa_pulsed,I83.I32.net17,I83.I32.I2.ptrans37,pana,s,g
Defect_short_514,VDDa_pulsed,I83.I32.net18,I83.I32.I1.ptrans37,pana,s,g
Defect_short_515,VDDa_pulsed,I83.I32.net18,I83.I32.I105.ptrans38,pana,s,d
Defect_short_516,VDDa_pulsed,I83.I32.net18,I83.I32.I105.ptrans37,pana,s,d
Defect_short_517,VDDa_pulsed,I83.I68.net13,I83.I68.I8.ptrans37,pana,s,g
Defect_short_518,VDDa_pulsed,I83.I68.net13,I83.I68.I6.ptrans38,pana,s,d
Defect_short_519,VDDa_pulsed,I83.I68.net13,I83.I68.I6.ptrans37,pana,s,d
Defect_short_520,VDDa_pulsed,I83.I68.net14,I83.I68.I7.ptrans37,pana,s,g
Defect_short_521,VDDa_pulsed,I83.I68.net14,I83.I68.I5.ptrans38,pana,s,d
Defect_short_522,VDDa_pulsed,I83.I68.net14,I83.I68.I5.ptrans37,pana,s,d
Defect_short_523,VDDa_pulsed,I83.I68.net11,I83.I68.I6.ptrans37,pana,s,g
Defect_short_524,VDDa_pulsed,I83.I68.net11,I83.I68.I2.ptrans38,pana,s,d
Defect_short_525,VDDa_pulsed,I83.I68.net11,I83.I68.I2.ptrans37,pana,s,d
Defect_short_526,VDDa_pulsed,I83.I68.net11,I83.I68.I1.ptrans38,pana,s,g
Defect_short_527,VDDa_pulsed,I83.I68.net7,I83.I68.I6.ptrans38,pana,s,g
Defect_short_528,VDDa_pulsed,I83.I68.net7,I83.I68.I5.ptrans38,pana,s,g
Defect_short_529,VDDa_pulsed,I83.I68.net7,I83.I68.I4.ptrans38,pana,s,d
Defect_short_530,VDDa_pulsed,I83.I68.net7,I83.I68.I4.ptrans37,pana,s,d
Defect_short_531,VDDa_pulsed,I83.I68.net12,I83.I68.I5.ptrans37,pana,s,g
Defect_short_532,VDDa_pulsed,I83.I68.net12,I83.I68.I2.ptrans38,pana,s,g
Defect_short_533,VDDa_pulsed,I83.I68.net12,I83.I68.I1.ptrans38,pana,s,d
Defect_short_534,VDDa_pulsed,I83.I68.net12,I83.I68.I1.ptrans37,pana,s,d
Defect_short_535,VDDa_pulsed,I83.I68.net17,I83.I68.I3.ptrans38,pana,s,d
Defect_short_536,VDDa_pulsed,I83.I68.net17,I83.I68.I3.ptrans37,pana,s,d
Defect_short_537,VDDa_pulsed,I83.I68.net17,I83.I68.I2.ptrans37,pana,s,g
Defect_short_538,VDDa_pulsed,I83.I68.net18,I83.I68.I1.ptrans37,pana,s,g
Defect_short_539,VDDa_pulsed,I83.I68.net18,I83.I68.I105.ptrans38,pana,s,d
Defect_short_540,VDDa_pulsed,I83.I68.net18,I83.I68.I105.ptrans37,pana,s,d
Defect_short_541,VDDa_pulsed,I83.I7.S0,I83.I7.I34.ptrans10,pana,s,d
Defect_short_542,VDDa_pulsed,I83.I7.S0,I83.I7.I30.ptrans10,pana,s,g
Defect_short_543,VDDa_pulsed,I83.I7.S0,I83.I7.I27.ptrans10,pana,s,d
Defect_short_544,VDDa_pulsed,I83.I7.S0_n,I83.I7.I35.ptrans10,pana,s,d
Defect_short_545,VDDa_pulsed,I83.I7.S0_n,I83.I7.I30.ptrans10,pana,s,d
Defect_short_546,VDDa_pulsed,I83.I7.S0_n,I83.I7.I27.ptrans10,pana,s,g
Defect_short_547,VDDa_pulsed,I83.I7.S1,I83.I7.I20.ptrans10,pana,s,d
Defect_short_548,VDDa_pulsed,I83.I7.S1,I83.I7.I23.ptrans10,pana,s,g
Defect_short_549,VDDa_pulsed,I83.I7.S1,I83.I7.I24.ptrans10,pana,s,d
Defect_short_550,VDDa_pulsed,I83.I7.S1_n,I83.I7.I19.ptrans10,pana,s,d
Defect_short_551,VDDa_pulsed,I83.I7.S1_n,I83.I7.I23.ptrans10,pana,s,d
Defect_short_552,VDDa_pulsed,I83.I7.S1_n,I83.I7.I24.ptrans10,pana,s,g
Defect_short_553,VDDa_pulsed,I83.I7.net078,I83.I7.M16,pana,s,d
Defect_short_554,VDDa_pulsed,I83.I7.net078,I83.I7.M3,pana,s,g
Defect_short_555,VDDa_pulsed,I83.I7.net078,I83.I7.M1,pana,s,g
Defect_short_556,VDDa_pulsed,I83.I7.net076,I83.I7.M12,pana,s,d
Defect_short_557,VDDa_pulsed,I83.I7.net076,I83.I7.M3,pana,s,d
Defect_short_558,VDDa_pulsed,I83.I7.net0117,I83.I7.M14,pana,s,d
Defect_short_559,VDDa_pulsed,I83.I7.net0117,I83.I7.M11,pana,s,g
Defect_short_560,VDDa_pulsed,I83.I7.net019,I83.I7.M13,pana,s,d
Defect_short_561,VDDa_pulsed,I83.I7.net019,I83.I7.M1,pana,s,d
Defect_short_562,VDDa_pulsed,I83.I7.net070,I83.I7.M35,nana,g,d
Defect_short_563,VDDa_pulsed,I83.I7.enable,I83.I7.I136.ptrans23,pana,s,g
Defect_short_564,VDDa_pulsed,I83.I7.enable,I83.I7.I137.ptrans23,pana,s,g
Defect_short_565,VDDa_pulsed,I83.I7.enable,I83.I7.I94.ptrans14,pana,s,d
Defect_short_566,VDDa_pulsed,I83.I7.enable,I83.I7.M16,pana,s,g
Defect_short_567,VDDa_pulsed,I83.I7.enable,I83.I7.M14,pana,s,g
Defect_short_568,VDDa_pulsed,I83.I7.enable,I83.I7.M13,pana,s,g
Defect_short_569,VDDa_pulsed,I83.I7.enable,I83.I7.M12,pana,s,g
Defect_short_570,VDDa_pulsed,I83.I7.disable,I83.I7.I92.ptrans10,pana,s,d
Defect_short_571,VDDa_pulsed,I83.I7.net059,I83.I7.I118.ptrans15,pana,s,g
Defect_short_572,VDDa_pulsed,I83.I7.net014,I83.I7.I118.P10,pana,s,d
Defect_short_573,VDDa_pulsed,I83.I7.net014,I83.I7.I136.ptrans24,pana,s,g
Defect_short_574,VDDa_pulsed,I83.I7.net057,I83.I7.I119.ptrans15,pana,s,g
Defect_short_575,VDDa_pulsed,I83.I7.net044,I83.I7.I119.P10,pana,s,d
Defect_short_576,VDDa_pulsed,I83.I7.net044,I83.I7.I137.ptrans24,pana,s,g
Defect_short_577,VDDa_pulsed,I83.I7.net044,I83.I7.I106.ptrans16,pana,s,g
Defect_short_578,VDDa_pulsed,I83.I7.net068,I83.I7.I136.ptrans25,pana,s,d
Defect_short_579,VDDa_pulsed,I83.I7.net068,I83.I7.I38.ptrans10,pana,s,g
Defect_short_580,VDDa_pulsed,I83.I7.net068,I83.I7.I37.ptrans10,pana,s,g
Defect_short_581,VDDa_pulsed,I83.I7.net0105,I83.I7.I137.ptrans25,pana,s,d
Defect_short_582,VDDa_pulsed,I83.I7.net0105,I83.I7.I47.ptrans10,pana,s,g
Defect_short_583,VDDa_pulsed,I83.I7.net0105,I83.I7.I49.ptrans10,pana,s,g
Defect_short_584,VDDa_pulsed,I83.I7.net018,I83.I7.I34.ptrans10,pana,s,g
Defect_short_585,VDDa_pulsed,I83.I7.net018,I83.I7.I31.ptrans10,pana,s,g
Defect_short_586,VDDa_pulsed,I83.I7.net018,I83.I7.I33.ptrans10,pana,s,d
Defect_short_587,VDDa_pulsed,I83.I7.net018,I83.I7.I146.ntrans11,nana,g,s
Defect_short_588,VDDa_pulsed,I83.I7.net0123,I83.I7.I38.ptrans10,pana,s,d
Defect_short_589,VDDa_pulsed,I83.I7.net0123,I83.I7.I56.ntrans11,nana,g,d
Defect_short_590,VDDa_pulsed,I83.I7.net0110,I83.I7.I46.ptrans10,pana,s,g
Defect_short_591,VDDa_pulsed,I83.I7.net0110,I83.I7.I37.ptrans10,pana,s,d
Defect_short_592,VDDa_pulsed,I83.I7.net024,I83.I7.I46.ptrans10,pana,s,d
Defect_short_593,VDDa_pulsed,I83.I7.net024,I83.I7.I19.ptrans10,pana,s,g
Defect_short_594,VDDa_pulsed,I83.I7.net024,I83.I7.I17.ptrans10,pana,s,d
Defect_short_595,VDDa_pulsed,I83.I7.net024,I83.I7.I18.ptrans10,pana,s,g
Defect_short_596,VDDa_pulsed,I83.I7.net0111,I83.I7.I47.ptrans10,pana,s,d
Defect_short_597,VDDa_pulsed,I83.I7.net0111,I83.I7.I48.ptrans10,pana,s,g
Defect_short_598,VDDa_pulsed,I83.I7.net022,I83.I7.I20.ptrans10,pana,s,g
Defect_short_599,VDDa_pulsed,I83.I7.net022,I83.I7.I17.ptrans10,pana,s,g
Defect_short_600,VDDa_pulsed,I83.I7.net022,I83.I7.I18.ptrans10,pana,s,d
Defect_short_601,VDDa_pulsed,I83.I7.net022,I83.I7.I56.ntrans11,nana,g,s
Defect_short_602,VDDa_pulsed,I83.I7.net020,I83.I7.I48.ptrans10,pana,s,d
Defect_short_603,VDDa_pulsed,I83.I7.net020,I83.I7.I35.ptrans10,pana,s,g
Defect_short_604,VDDa_pulsed,I83.I7.net020,I83.I7.I31.ptrans10,pana,s,d
